Date,Open,High,Low,Close,Volume,DMA20,DMA50,DMA200,RSI,MACD,MACD_Signal,MACD_Hist,Vol_Avg20,RSI_Oversold,RSI_Overbought,RSI_Bull_Cross,RSI_Bear_Cross,MACD_Bull_Cross,MACD_Bear_Cross,Above_DMA50,Golden_Cross,Death_Cross
2024-07-01,4199.8096531277915,4261.48377434732,4167.056777170463,4228.730898389991,2658330,,,,50.0,0.0,0.0,0.0,,False,False,False,False,False,False,False,False,False
2024-07-02,4164.95040933514,4214.592581456829,4151.12919074041,4200.7713628620995,2569905,,,,50.0,-2.2303902985213426,-0.44607805970426856,-1.784312238817074,,False,False,False,False,False,False,False,False,False
2024-07-03,4375.53912589697,4402.648035575614,4354.77039890019,4381.879308578834,3873676,,,,50.0,10.494927961220128,1.742123144480611,8.752804816739516,,False,False,False,False,True,False,False,False,False
2024-07-04,4304.209722621615,4330.366313843712,4265.466336205285,4291.622927427383,4551297,,,,50.0,13.145367098950373,4.022771935374563,9.12259516357581,,False,False,False,False,False,False,False,False,False
2024-07-05,4283.964182828348,4323.41521091573,4252.701530601124,4292.152558688506,2960122,,,,50.0,15.11436701288585,6.241090950876821,8.87327606200903,3322666.0,False,False,False,False,False,False,False,False,False
2024-07-08,4322.334551996808,4358.39222993974,4275.336797976359,4311.394475919291,2592860,4284.425255311017,,,50.0,18.01975502070036,8.596823764841528,9.422931255858831,3201031.6666666665,False,False,False,False,False,False,False,False,False
2024-07-09,4437.5300275239315,4457.383801400943,4382.574949024445,4402.428722901457,2549229,4301.282893538223,,,50.0,27.352694045107455,12.347997820894713,15.004696224212742,3107917.0,False,False,False,False,False,False,False,False,False
2024-07-10,4319.172265505099,4343.580926367115,4316.844959873929,4341.253620735945,2731270,4306.279234437939,,,50.0,29.473049016324694,15.773008059980711,13.700040956343983,3060836.125,False,False,False,False,False,False,False,False,False
2024-07-11,4214.36023128146,4242.874699715721,4182.812516051838,4211.3269844861,1474501,4295.72898444329,,,50.0,20.433902594740175,16.705186966932605,3.7287156278075706,2884576.6666666665,False,False,False,False,False,False,False,False,False
2024-07-12,4398.734008088532,4407.1484751157295,4380.191128951584,4388.605595978781,1392567,4305.016645596838,,,50.0,27.26096882117963,18.816343337782012,8.444625483397619,2735375.7,False,False,False,False,False,False,False,False,False
2024-07-15,4348.300062035081,4358.699875640162,4323.057370568555,4333.457184173635,4567232,4307.60214910382,,,50.0,27.899840064605087,20.633042683146627,7.26679738145846,2901908.090909091,False,False,False,False,False,False,False,False,False
2024-07-16,4302.149216583297,4315.529732549656,4237.9018737112,4251.282389677559,1679412,4302.908835818299,,,50.0,21.527179055468878,20.81186995761108,0.7153090978577978,2800033.4166666665,False,False,False,False,False,False,False,False,False
2024-07-17,4266.315208716401,4305.760570832998,4221.393690955019,4260.839053071617,3437588,4299.6726986839385,,,50.0,17.051384415295615,20.059772849147986,-3.008388433852371,2849076.076923077,False,False,False,False,False,True,False,False,False
2024-07-18,4206.225359086603,4296.571741384262,4117.620746491646,4207.967128789305,1261282,4293.122300834321,,,50.0,9.132686570243095,17.874355593367007,-8.741669023123912,2735662.214285714,False,False,False,False,False,False,False,False,False
2024-07-19,4283.833296192283,4319.3336564495,4192.234534510419,4227.7348947676355,4783683,4288.763140429876,,,38.02680124112362,4.401418176290463,15.179768109951699,-10.778349933661236,2872196.933333333,False,False,False,False,False,False,False,False,False
2024-07-22,4201.373849379579,4249.911259739996,4180.912567218742,4229.449977579159,1524023,4285.056067751706,4285.056067751706,,38.179011678359906,0.7812410756660029,12.300062703094559,-11.518821627428556,2787936.0625,False,False,False,False,False,False,False,False,False
2024-07-23,4175.606225771024,4225.718126830381,4136.078843463586,4186.1907445229435,4232187,4279.240460502955,4279.240460502955,,35.79122519047151,-5.514862037008243,8.737077755074,-14.251939792082243,2872892.0,False,False,False,False,False,False,False,False,False
2024-07-24,4235.427955999262,4246.237259369696,4211.8805156952185,4222.689819065653,915766,4276.098758200883,4276.098758200883,,39.243845394512384,-7.473251839404838,5.495011836178233,-12.96826367558307,2764162.777777778,False,False,False,False,False,False,False,False,False
2024-07-25,4199.165901937292,4274.487356656241,4166.09832493136,4241.4197796503095,2036960,4274.273548803484,4274.273548803484,,40.997188166769156,-7.428309651174459,2.9103475387076942,-10.338657189882152,2725888.947368421,False,False,False,False,False,False,False,False,False
2024-07-26,4227.5972404645345,4262.452229545285,4196.122125713132,4230.977114793883,3258595,4272.108727103005,4272.108727103005,,40.29890913806253,-8.141478527561048,0.6999823254539457,-8.841460853014993,2752524.25,False,False,False,False,False,False,False,False,False
2024-07-29,4186.5555701080275,4190.539000252445,4150.439824317778,4154.4232544621955,2457585,4268.393344906615,4266.504656977251,,35.52233161256834,-14.71430934289856,-2.3828760082165554,-12.331433334682004,2742487.0,False,False,False,False,False,False,False,False,False
2024-07-30,4156.090608554542,4195.906075326322,4150.22799203155,4190.0434588033295,3182897,4267.856949703676,4263.029147969346,,39.137176220978446,-16.854780896444026,-5.27725698586205,-11.577523910581977,2773136.6,False,False,False,False,False,False,False,False,False
2024-07-31,4211.662768290235,4255.5538617936,4171.836849797175,4215.72794330054,2751165,4259.549381439761,4260.972573853311,,41.67630355109819,-16.2908065024767,-7.47996688918498,-8.81083961329172,2717011.05,False,False,False,False,False,False,False,False,False
2024-08-01,4257.22837944189,4294.414238319816,4176.873787711979,4214.059646589905,1756981,4255.671217397887,4259.017868550669,,41.55503640067503,-15.796379504034121,-9.143249412154809,-6.653130091879312,2577295.25,False,False,False,False,False,False,False,False,False
2024-08-02,4300.548744412665,4371.6541356721,4220.708171510973,4291.813562770409,3331830,4255.6542676019835,4260.329696319459,,49.00292106525564,-9.026400599071167,-9.119879649538081,0.09347905046691452,2595880.65,False,False,False,False,True,False,True,False,False
2024-08-05,4247.844378125451,4276.426773465994,4206.157732117868,4234.740127458412,2689918,4251.821550178939,4259.345482132496,,44.518346017373325,-8.172287742874687,-8.930361268205402,0.7580735253307154,2600733.55,False,False,False,False,False,False,False,False,False
2024-08-06,4175.021893077131,4188.465407554757,4163.81697663931,4177.2604911169365,3086064,4240.563138589712,4256.305297280067,,40.49855448954423,-11.9952496549422,-9.543338945552762,-2.4519107093894377,2627575.3,False,False,False,False,False,True,False,False,False
2024-08-07,4175.654389213991,4236.540598471502,4138.102514487195,4198.988723744706,4165259,4233.44989374015,4254.258276796661,,42.60819973696866,-13.12044342594254,-10.258759841630717,-2.861683584311823,2699274.75,False,False,False,False,False,False,False,False,False
2024-08-08,4151.64272984388,4201.359381227482,4121.326475385891,4171.043126769493,2657879,4231.43570085432,4251.38878886469,,40.61372556115725,-16.08176316562185,-11.423360506428946,-4.658402659192905,2758443.65,False,False,False,False,False,False,False,False,False
2024-08-09,4137.918640181203,4151.136920483331,4128.194299828248,4141.412580130376,3368830,4219.0760500619,4247.722915240212,,38.553071128526625,-20.58230784267198,-13.255149973677554,-7.327157868994426,2857256.8,False,False,False,False,False,False,False,False,False
2024-08-12,4210.9163631736365,4264.806872850308,4169.939671398693,4223.830181075364,3889883,4213.594699906987,4246.952181880056,,46.659902370054766,-17.299195957653865,-14.063959170472817,-3.235236787181048,2823389.35,False,False,False,False,False,False,False,False,False
2024-08-13,4333.779696582396,4353.5083924958135,4297.059008780765,4316.787704694182,1575842,4216.869965657817,4249.134541967998,,54.02709694535942,-7.114400477489653,-12.674047431876184,5.5596469543865314,2818210.85,False,False,False,False,True,False,True,False,False
2024-08-14,4204.476273968911,4231.44275285016,4168.846206716205,4195.812685597454,2934086,4213.618647284109,4247.518728138588,,45.265022959415425,-8.704212944023311,-11.88008053430561,3.1758675902822997,2793035.75,False,False,False,False,False,False,False,False,False
2024-08-15,4171.305107221442,4204.161901117344,4154.397995255445,4187.254789151347,1552740,4212.583030302212,4245.746259344845,,44.712588064193696,-10.533280399896285,-11.610720507423746,1.0774401075274618,2807608.65,False,False,False,False,False,False,False,False,False
2024-08-16,4121.411097865901,4171.102590864972,4117.3151033805025,4167.006596379573,1232057,4209.546615382808,4243.496554688694,,43.36408340067876,-13.461513523471694,-11.980879110633335,-1.4806344128383593,2630027.35,False,False,False,False,False,True,False,False,False
2024-08-19,4119.831603318685,4146.4375328128845,4085.5127053691917,4112.118634863391,1186406,4203.68004824702,4239.847168026881,,39.85509441648663,-19.980832547240425,-13.580869797954755,-6.39996274928567,2613146.5,False,False,False,False,False,False,False,False,False
